State,Commodity Group,Commodity,Date,Arrival,Arrival Unit,Price,Price Unit
Andhra Pradesh,Pulses,Urad,2022-02-14,5.9,Metric Tonnes,4000.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2022-02-15,5.7,Metric Tonnes,5749.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2022-02-16,7.8,Metric Tonnes,3540.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2022-02-17,5.6,Metric Tonnes,3500.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2022-02-18,4.4,Metric Tonnes,4530.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2022-02-19,8.1,Metric Tonnes,6039.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2022-02-21,4.3,Metric Tonnes,3633.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2022-02-22,5.9,Metric Tonnes,4663.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2022-02-23,9.1,Metric Tonnes,3709.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2022-02-24,4.1,Metric Tonnes,5229.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2022-02-25,6.9,Metric Tonnes,5359.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2022-02-26,2.3,Metric Tonnes,6180.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2022-02-28,3.9,Metric Tonnes,5559.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2022-03-05,4.9,Metric Tonnes,5629.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2022-03-07,11.2,Metric Tonnes,5239.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2022-03-08,9.4,Metric Tonnes,6459.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2022-03-09,5.2,Metric Tonnes,6440.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2022-03-11,9.7,Metric Tonnes,6401.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2022-03-12,12.0,Metric Tonnes,5401.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2022-03-14,16.5,Metric Tonnes,5249.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2022-03-15,11.3,Metric Tonnes,6179.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2022-03-19,10.9,Metric Tonnes,5069.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2022-03-21,13.0,Metric Tonnes,5493.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2022-03-22,12.1,Metric Tonnes,5689.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2022-03-24,22.3,Metric Tonnes,5569.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2022-03-25,7.2,Metric Tonnes,5209.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2022-03-26,13.2,Metric Tonnes,5809.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2022-03-31,19.9,Metric Tonnes,4600.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2022-04-04,4.2,Metric Tonnes,6239.0,Rs./Quintal
Andhra Pradesh,Pulses,Urad,2022-04-06,11.9,Metric Tonnes,5873.0,Rs./Quintal
