State,Commodity Group,Commodity,Date,Arrival,Arrival Unit,Price,Price Unit
Andhra Pradesh,Cereals,Maize,2021-03-30,1.0,Metric Tonnes,1850.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-03-31,1.0,Metric Tonnes,1850.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-04-03,3.8,Metric Tonnes,1430.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-04-07,2.5,Metric Tonnes,1290.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-04-09,2.4,Metric Tonnes,1370.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-04-15,8.3,Metric Tonnes,1336.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-04-16,3.6,Metric Tonnes,1395.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-04-17,2.0,Metric Tonnes,1320.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-04-19,3.3,Metric Tonnes,1104.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-04-20,10.6,Metric Tonnes,1445.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-04-22,8.7,Metric Tonnes,1468.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-04-23,1.3,Metric Tonnes,1100.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-04-24,8.4,Metric Tonnes,1195.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-04-26,9.1,Metric Tonnes,1225.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-04-28,12.1,Metric Tonnes,1225.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-04-29,4.2,Metric Tonnes,1280.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-04-30,12.4,Metric Tonnes,1315.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-05-08,16.9,Metric Tonnes,1350.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-05-13,12.6,Metric Tonnes,1290.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-05-15,2.5,Metric Tonnes,1465.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-05-20,11.1,Metric Tonnes,1202.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-05-22,4.7,Metric Tonnes,1420.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-05-27,2.9,Metric Tonnes,1521.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-05-29,4.0,Metric Tonnes,1542.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-06-03,3.7,Metric Tonnes,1300.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-06-05,9.0,Metric Tonnes,1260.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-06-12,20.5,Metric Tonnes,1379.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-06-17,7.4,Metric Tonnes,1570.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-06-19,9.7,Metric Tonnes,1324.0,Rs./Quintal
Andhra Pradesh,Cereals,Maize,2021-06-23,9.2,Metric Tonnes,1605.0,Rs./Quintal
